segment_id,source_way_id,sample_area,from_node_id,to_node_id,highway,name,rule_bucket,length_meter,geom_wkt
1049271363_3,1049271363,seomyeon_station_1km,1450699344,1450699332,residential,서전로68번길,conditional,41.976,"LINESTRING (129.0672183 35.1565284, 129.0672201 35.1561509)"
1049271363_4,1049271363,seomyeon_station_1km,1450699332,9642820085,residential,서전로68번길,conditional,41.643,"LINESTRING (129.0672201 35.1561509, 129.0672219 35.1557764)"
1052621779_1,1052621779,seomyeon_station_1km,4655135965,12546151536,secondary_link,,conditional,82.578,"LINESTRING (129.0653693 35.1639325, 129.0653098 35.1637584, 129.0652501 35.1636988, 129.0651806 35.1636474, 129.0650773 35.1636134, 129.0649487 35.1635973, 129.0648267 35.1636059, 129.0646949 35.1636314)"
1052621780_1,1052621780,seomyeon_station_1km,12546151532,12520416835,secondary_link,,conditional,38.237,"LINESTRING (129.0646393 35.1636607, 129.0645221 35.1637750, 129.0644407 35.1638592, 129.0643858 35.1639342)"
1052621780_2,1052621780,seomyeon_station_1km,12520416835,12506902240,secondary_link,,conditional,54.778,"LINESTRING (129.0643858 35.1639342, 129.0643634 35.1640171, 129.0643533 35.1641193, 129.0644245 35.1644189)"
1056385861_1,1056385861,seomyeon_station_1km,12520416858,9706723864,tertiary_link,,conditional,65.933,"LINESTRING (129.0626853 35.1623133, 129.0625790 35.1622305, 129.0625038 35.1621505, 129.0624395 35.1621165, 129.0623653 35.1621207, 129.0623014 35.1621373, 129.0622316 35.1621691, 129.0620985 35.1622374)"
1075011703_1,1075011703,seomyeon_station_1km,1770395112,1770395009,secondary_link,,conditional,21.683,"LINESTRING (129.0653647 35.1492863, 129.0655048 35.1491285)"
1075012239_1,1075012239,seomyeon_station_1km,1764274421,1764293632,secondary,황령대로,conditional,94.98,"LINESTRING (129.0692773 35.1503842, 129.0688201 35.1503878, 129.0682395 35.1503146)"
1075012239_2,1075012239,seomyeon_station_1km,1764293632,1764293818,secondary,황령대로,conditional,33.338,"LINESTRING (129.0682395 35.1503146, 129.0678772 35.1502684)"
1075628593_1,1075628593,seomyeon_station_1km,1450699274,11966240060,secondary_link,,conditional,47.133,"LINESTRING (129.0653375 35.1502500, 129.0652928 35.1498277)"
1075628593_2,1075628593,seomyeon_station_1km,11966240060,7453983012,secondary_link,,conditional,12.6,"LINESTRING (129.0652928 35.1498277, 129.0652809 35.1497148)"
1075628594_1,1075628594,seomyeon_station_1km,9864859753,1770395112,secondary_link,,conditional,17.016,"LINESTRING (129.0653215 35.1494352, 129.0653647 35.1492863)"
